1|San Francisco|California
2|Miami Beach|Florida
3|Grand Canyon National Park|Arizona
4|Napa Valley|California
5|Austin|Texas
6|New York City|New York
7|Paris|France
8|Tokyo|Japan
9|Lyon|France
10|Dijon|France
11|Belgrade|Serbia
12|Orlando|Florida
13|Sarajevo|Bosnia and Herzegovina
14|Belgrade|Serbia
15|Zagreb|Croatia
16|Podgorica|Montenegro
17|Split|Croatia
18|Banja Luka|Bosnia and Herzegovina
19|Dubrovnik|Croatia
20|Novi Sad|Serbia
21|Mostar|Bosnia and Herzegovina
22|Kotor|Montenegro
23|Zadar|Croatia