1|3|3|Spanish|4|Behold the awe-inspiring wonder of the Grand Canyon, a natural masterpiece that leaves visitors breathless.|12.05.2023.|25.05.2023.|Denied||False
2|2|2|French|4|Experience the sun-soaked paradise of Miami Beach, Florida, where tropical vibes and vibrant energy converge.|19.05.2023.|20.05.2023.|Waiting||False
3|5|5|English|6|Experience the dynamic city of Austin, Texas on an unforgettable tour.|21.05.2023.|26.05.2023.|Denied||False
4|5|5|Spanish|5|Experience the dynamic city of Austin, Texas on an unforgettable tour.|12.05.2023.|20.05.2023.|Denied||False
5|5|5|Japanese|5|Experience the dynamic city of Austin, Texas on an unforgettable tour.|21.05.2023.|26.05.2023.|Waiting||False
6|5|5|Spanish|5|Experience the dynamic city of Austin, Texas on an unforgettable tour.|24.05.2023.|26.05.2023.|Waiting||False
7|5|9|Spanish|4|Embark on a delightful journey through Lyon, France's culinary capital and a city steeped in history and culture.|14.05.2023.|26.05.2023.|Accepted|15.05.2023.|True
8|5|11|Japanese|6|Embark on an extraordinary adventure in the bustling metropolis of Tokyo, Japan. Immerse yourself in a captivating fusion of ancient traditions and futuristic innovation.|04.05.2023.|19.05.2023.|Denied||False
9|5|8|Spanish|5|Embark on an extraordinary adventure in the bustling metropolis of Tokyo, Japan. Immerse yourself in a captivating fusion of ancient traditions and futuristic innovation.|20.05.2023.|27.05.2023.|Waiting||False
10|5|4|French|15|Embark on an enchanting journey through California's Napa Valley. Experience the epitome of wine country elegance as you explore lush vineyards,|20.05.2023.|28.05.2023.|Accepted|25.05.2023.|True
11|5|4|French|5|Embark on an enchanting journey through California's Napa Valley. Experience the epitome of wine country elegance as you explore lush vineyards,|20.05.2023.|28.05.2023.|Accepted|25.05.2023.|True
12|5|4|French|145|Embark on an enchanting journey through California's Napa Valley. Experience the epitome of wine country elegance as you explore lush vineyards,|20.05.2023.|28.05.2023.|Denied|25.05.2023.|True
13|5|4|French|145|Embark on an enchanting journey through California's Napa Valley. Experience the epitome of wine country elegance as you explore lush vineyards,|20.05.2024.|28.05.2024.|Denied|25.05.2024.|True